Mun;Mas;Fem;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Médico Cirurgião Geral;Médico Clínico;Médico Ginecologista Obstetra;Médico de família e comunidade;Médico Pediatra;Médico geriatra;Médico urologista;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO
251065 Parari;888;859;117;119;120;117;255;273;229;211;153;96;57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
251070 Passagem;1192;1261;203;188;197;192;339;388;331;238;191;118;68;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;7.0;2.0;1.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
251080 Patos;51608;57158;7533;7237;8008;9047;17799;17740;15262;11521;7708;4619;2292;6.0;65.0;14.0;0.0;14.0;0.0;0.0;40.0;311.0;91.0;10.0;34.0;62.0;55.0;4.0;0.0;43.0;5.0;2.0;2.0;0.0;0.0
251090 Paulista;6133;6278;787;770;831;883;1941;1951;1792;1461;1042;623;330;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;3.0;1.0;2.0;0.0;1.0;0.0;0.0;6.0;1.0;1.0;0.0;0.0;0.0
251100 Pedra Branca;1883;1919;264;252;258;301;575;614;547;397;315;180;99;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0
251110 Pedra Lavrada;3889;4065;578;542;572;610;1198;1292;1031;874;577;447;233;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
251120 Pedras de Fogo;14063;14544;2260;2093;2110;2287;5049;4626;3938;2830;1745;1094;575;0.0;15.0;1.0;0.0;1.0;0.0;0.0;5.0;33.0;11.0;2.0;4.0;5.0;11.0;0.0;1.0;14.0;1.0;1.0;0.0;0.0;0.0
251272 Pedro Régis;3052;3087;526;484;461;455;998;929;756;634;401;321;174;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
251130 Piancó;7787;8360;1026;1006;1084;1171;2450;2505;2389;1929;1301;856;430;1.0;21.0;0.0;0.0;0.0;0.0;0.0;27.0;58.0;20.0;2.0;6.0;4.0;15.0;3.0;0.0;8.0;1.0;2.0;0.0;0.0;0.0
251140 Picuí;9229;9508;1323;1252;1283;1505;3104;2832;2416;2146;1379;956;541;0.0;12.0;0.0;0.0;0.0;0.0;1.0;5.0;21.0;5.0;1.0;4.0;2.0;4.0;0.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0
251150 Pilar;5917;6119;919;888;900;957;2123;1791;1685;1231;781;502;259;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;12.0;5.0;0.0;3.0;1.0;3.0;0.0;4.0;6.0;1.0;1.0;0.0;0.0;0.0
251160 Pilões;3241;3277;596;562;546;516;1039;1053;824;572;399;257;154;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0
251170 Pilõezinhos;2392;2545;380;355;351;373;805;781;634;501;387;234;136;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251180 Pirpirituba;5345;5245;800;783;809;775;1733;1681;1400;1130;745;458;276;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
251190 Pitimbu;9724;9754;1894;1671;1658;1819;3380;2898;2639;1755;1018;530;216;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;11.0;6.0;2.0;2.0;1.0;4.0;0.0;0.0;8.0;2.0;0.0;0.0;0.0;0.0
251200 Pocinhos;9334;9514;1643;1518;1572;1567;2913;2736;2424;1804;1220;922;529;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;6.0;0.0;1.0;1.0;3.0;0.0;0.0;9.0;1.0;1.0;0.0;0.0;0.0
251203 Poço Dantas;1956;1921;322;308;314;305;639;636;466;372;257;168;90;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
251207 Poço de José de Moura;2056;2310;287;279;267;280;703;670;601;491;378;263;147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0
251210 Pombal;15722;17081;1996;1957;2164;2396;4868;5073;4707;3994;2786;1849;1013;1.0;16.0;0.0;0.0;0.0;0.0;0.0;10.0;67.0;10.0;4.0;3.0;10.0;7.0;2.0;4.0;14.0;1.0;1.0;0.0;0.0;0.0
251220 Prata;2113;2152;318;302;319;321;604;632;547;509;342;227;144;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
251230 Princesa Isabel;11785;11964;1809;1740;1824;1847;3904;3905;3173;2322;1615;1043;567;1.0;19.0;1.0;0.0;1.0;0.0;0.0;10.0;48.0;17.0;5.0;7.0;7.0;11.0;1.0;1.0;13.0;0.0;0.0;1.0;0.0;0.0
251240 Puxinanã;6716;7085;1145;1082;1115;1101;2199;2185;1795;1335;893;617;334;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;1.0;0.0;1.0;1.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0
251250 Queimadas;21508;22880;3286;3092;3139;3437;7789;7094;5797;4809;2963;1991;991;1.0;7.0;1.0;0.0;4.0;0.0;0.0;11.0;32.0;20.0;2.0;5.0;4.0;8.0;1.0;0.0;20.0;1.0;1.0;0.0;0.0;0.0
251260 Quixabá;1050;959;162;157;168;149;367;313;281;203;104;72;33;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
251270 Remígio;9573;10400;1587;1502;1579;1605;3097;2975;2478;2054;1449;1027;620;0.0;6.0;0.0;0.0;1.0;0.0;0.0;2.0;17.0;7.0;0.0;2.0;4.0;3.0;0.0;0.0;10.0;1.0;0.0;0.0;0.0;0.0
251274 Riachão;1727;1923;299;281;271;293;633;559;489;334;226;165;100;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0
251275 Riachão do Bacamarte;2237;2325;326;308;315;372;741;686;604;525;340;224;121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0
251276 Riachão do Poço;2311;2260;338;316;315;393;729;697;672;473;309;224;105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
251278 Riacho de Santo Antônio;995;1004;170;165;169;165;334;291;269;203;121;71;41;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
251280 Riacho dos Cavalos;4370;4185;585;552;587;638;1393;1420;1167;958;672;391;192;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;3.0;0.0;0.0;1.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
251290 Rio Tinto;11922;12336;1737;1651;1764;1903;4008;3801;3302;2683;1803;1035;571;0.0;9.0;0.0;0.0;1.0;0.0;0.0;2.0;17.0;7.0;0.0;4.0;5.0;4.0;1.0;0.0;9.0;2.0;0.0;0.0;0.0;0.0
251300 Salgadinho;2036;1939;363;332;318;313;607;604;545;354;265;171;103;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0
251310 Salgado de São Félix;5900;6223;854;829;821;821;1847;1765;1566;1340;1071;743;466;0.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;8.0;5.0;1.0;3.0;0.0;2.0;1.0;5.0;5.0;1.0;0.0;0.0;0.0;0.0
251315 Santa Cecília;3312;3214;531;492;458;462;1129;987;835;671;470;319;172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
251320 Santa Cruz;3354;3225;386;394;434;365;745;940;978;813;705;508;311;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;2.0;0.0;1.0;1.0;2.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0
251330 Santa Helena;2910;2943;356;351;345;347;831;837;796;741;592;431;226;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
251335 Santa Inês;1860;1731;281;267;273;296;619;584;468;370;244;130;59;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251340 Santa Luzia;7457;8013;991;960;1044;1217;2336;2300;2147;1796;1292;879;508;0.0;17.0;0.0;0.0;0.0;0.0;0.0;9.0;31.0;6.0;3.0;5.0;1.0;6.0;2.0;0.0;6.0;1.0;1.0;0.0;0.0;0.0
251370 Santa Rita;66013;72080;10389;9809;10510;11888;24167;21121;19537;14670;8936;4829;2237;4.0;51.0;2.0;0.0;9.0;0.0;0.0;23.0;155.0;69.0;6.0;17.0;29.0;15.0;3.0;1.0;43.0;5.0;2.0;0.0;0.0;0.0
251380 Santa Teresinha;2194;2356;287;281;277;316;660;627;710;623;360;266;143;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251350 Santana de Mangueira;2563;2535;373;358;371;395;815;789;701;536;390;263;107;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
251360 Santana dos Garrotes;3360;3582;432;443;461;436;1003;1020;918;862;689;451;227;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;2.0;0.0;0.0;0.0;2.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0
251385 Santo André;1264;1232;146;148;159;150;360;370;355;324;225;167;92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0
251392 São Bentinho;2214;2388;338;318;325;345;679;673;625;507;370;269;153;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;2.0;2.0;0.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0
251390 São Bento;17061;17589;2490;2372;2634;2984;5987;5572;4928;3678;2149;1304;552;1.0;7.0;1.0;0.0;1.0;0.0;0.0;5.0;30.0;12.0;2.0;7.0;4.0;11.0;1.0;0.0;15.0;0.0;1.0;0.0;0.0;0.0
251396 São Domingos;1549;1570;182;175;176;208;441;477;452;386;284;220;118;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251394 São Domingos do Cariri;1318;1327;172;166;174;187;410;400;337;322;213;163;101;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
251398 São Francisco;1636;1741;188;188;199;208;423;500;497;414;359;243;158;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0
251400 São João do Cariri;2039;2131;252;243;250;280;632;601;596;533;368;263;152;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
250070 São João do Rio do Peixe;8775;9245;1029;1023;1069;1157;2629;2835;2677;2266;1628;1137;570;0.0;2.0;1.0;0.0;0.0;0.0;0.0;5.0;19.0;5.0;1.0;2.0;1.0;3.0;1.0;0.0;10.0;0.0;1.0;0.0;0.0;0.0
251410 São João do Tigre;2287;2121;360;338;320;317;684;603;570;506;357;233;120;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251420 São José da Lagoa Tapada;3714;3908;546;514;530;531;1026;1138;1035;884;696;468;254;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0
251430 São José de Caiana;3316;3078;524;509;529;541;1120;1056;814;553;395;252;101;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
251440 São José de Espinharas;2402;2229;346;336;346;334;659;685;627;514;367;285;132;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251450 São José de Piranhas;10195;10211;1439;1365;1450;1626;3317;3330;2706;2174;1450;1018;531;0.0;9.0;0.0;0.0;0.0;0.0;0.0;3.0;21.0;4.0;1.0;1.0;2.0;4.0;0.0;0.0;11.0;1.0;1.0;0.0;0.0;0.0
251455 São José de Princesa;1975;1923;274;273;277;290;641;596;548;414;271;219;95;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251460 São José do Bonfim;1832;1787;275;264;280;315;566;548;542;402;233;129;65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251465 São José do Brejo do Cruz;917;904;138;129;133;155;286;284;261;193;131;76;35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
251470 São José do Sabugi;2096;2057;267;257;275;307;653;643;606;473;330;227;115;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;3.0;1.0;0.0;3.0;3.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0
251480 São José dos Cordeiros;1776;1831;266;254;240;248;474;538;499;420;315;222;131;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251445 São José dos Ramos;2958;3079;490;458;443;437;1006;889;812;665;415;260;162;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0
251490 São Mamede;3763;3919;500;478;492;525;943;1099;1081;1015;720;540;289;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0
251500 São Miguel de Taipu;3660;3790;658;624;623;659;1289;1111;953;731;426;242;134;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0
251510 São Sebastião de Lagoa de Roça;5800;5993;859;827;848;945;1843;1753;1605;1382;853;577;301;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;11.0;3.0;0.0;1.0;4.0;3.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0
251520 São Sebastião do Umbuzeiro;1740;1794;279;266;271;271;587;564;411;371;239;176;99;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0
251540 São Vicente do Seridó;5622;5297;900;833;842;971;2057;1741;1296;971;627;447;234;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;10.0;3.0;1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0
251530 Sapé;25880;27097;3772;3619;3734;4153;8665;8184;7150;5882;3938;2571;1309;0.0;13.0;0.0;0.0;0.0;0.0;0.0;14.0;33.0;12.0;3.0;7.0;3.0;12.0;2.0;0.0;19.0;2.0;1.0;0.0;0.0;0.0
251550 Serra Branca;6739;7068;897;874;934;966;1929;2052;1774;1708;1243;849;581;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;10.0;7.0;1.0;3.0;2.0;6.0;0.0;1.0;6.0;0.0;1.0;0.0;0.0;0.0
251560 Serra da Raiz;1559;1555;225;215;215;232;504;480;411;331;233;164;104;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0
251570 Serra Grande;1475;1446;217;209;211;186;455;516;370;317;213;148;79;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251580 Serra Redonda;3334;3667;479;468;468;474;1129;1037;878;833;582;375;278;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;3.0;0.0;1.0;2.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0
251590 Serraria;2998;3039;499;470;448;432;967;872;780;639;470;291;169;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0;2.0;1.0;2.0;0.0;1.0;0.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0
251593 Sertãozinho;2486;2666;371;349;347;421;809;727;699;572;364;310;183;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0
251597 Sobrado;3843;4002;578;554;587;603;1322;1308;1074;867;472;314;166;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0
251600 Solânea;12372;13679;1931;1828;1865;2015;3984;3776;3462;2868;2047;1434;841;1.0;7.0;0.0;0.0;1.0;0.0;0.0;2.0;16.0;9.0;0.0;3.0;7.0;4.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0
251610 Soledade;7528;7683;1177;1101;1145;1264;2379;2283;2071;1571;1096;740;384;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;19.0;6.0;0.0;2.0;0.0;3.0;0.0;1.0;7.0;1.0;1.0;0.0;0.0;0.0
251615 Sossêgo;1802;1829;310;296;306;305;609;522;436;378;219;164;86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
251620 Sousa;33840;36157;4628;4507;4999;5480;10452;10994;10188;7829;5382;3637;1901;8.0;37.0;8.0;0.0;3.0;0.0;2.0;28.0;88.0;33.0;11.0;8.0;5.0;19.0;1.0;0.0;30.0;1.0;3.0;1.0;0.0;0.0
251630 Sumé;8444;8652;1035;1008;1065;1166;2548;2783;2460;2084;1372;999;576;0.0;3.0;2.0;0.0;1.0;0.0;0.0;1.0;12.0;5.0;0.0;3.0;9.0;2.0;0.0;3.0;6.0;0.0;1.0;0.0;0.0;0.0
251640 Tacima;5524;5500;762;717;757;789;1824;1869;1673;1194;656;492;291;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0
251650 Taperoá;7690;7815;1123;1075;1114;1191;2491;2416;1926;1660;1155;851;503;0.0;7.0;0.0;0.0;0.0;0.0;0.0;3.0;22.0;3.0;0.0;2.0;1.0;3.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0
251660 Tavares;7456;7335;1094;1055;1067;1162;2428;2399;1891;1562;1023;737;373;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;12.0;4.0;0.0;4.0;1.0;3.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0
251670 Teixeira;7571;7762;1295;1196;1247;1338;2498;2456;1918;1489;991;602;303;0.0;2.0;0.0;0.0;1.0;0.0;0.0;3.0;12.0;5.0;0.0;4.0;1.0;6.0;0.0;0.0;10.0;1.0;0.0;0.0;0.0;0.0
251675 Tenório;1614;1489;236;222;226;260;559;540;411;265;190;131;63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
251680 Triunfo;4710;4763;641;614;625;642;1583;1537;1186;953;821;568;303;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;3.0;1.0;0.0;0.0;0.0;0.0
251690 Uiraúna;7434;7922;956;952;1046;1039;2195;2534;2069;1738;1349;957;521;0.0;13.0;0.0;0.0;0.0;0.0;0.0;2.0;19.0;9.0;1.0;0.0;0.0;3.0;0.0;4.0;8.0;0.0;2.0;0.0;0.0;0.0
251700 Umbuzeiro;4870;5044;716;708;715;706;1668;1547;1177;1089;741;545;302;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;10.0;5.0;0.0;1.0;1.0;5.0;0.0;1.0;5.0;1.0;0.0;0.0;0.0;0.0
251710 Várzea;1441;1429;164;165;192;223;383;464;398;346;241;192;102;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
251720 Vieirópolis;2706;2689;327;323;337;336;745;813;790;639;503;388;194;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0
250550 Vista Serrana;2004;1846;267;264;287;324;622;602;554;392;244;194;100;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0
251740 Zabelê;1123;1146;186;170;171;193;344;343;300;236;164;106;56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
260005 Abreu e Lima;47582;53116;6205;6477;6814;7625;15887;15739;15141;12282;8467;4302;1759;1.0;28.0;8.0;0.0;23.0;0.0;0.0;13.0;37.0;25.0;9.0;5.0;29.0;24.0;5.0;4.0;25.0;0.0;2.0;0.0;0.0;0.0
260010 Afogados da Ingazeira;17904;19642;2674;2761;2731;2732;5928;5808;4984;4128;2913;1903;984;4.0;44.0;3.0;0.0;8.0;0.0;0.0;13.0;85.0;27.0;9.0;9.0;13.0;18.0;4.0;0.0;15.0;0.0;3.0;0.0;0.0;0.0
260020 Afrânio;9895;10086;1673;1639;1551;1632;3310;3083;2625;1972;1200;884;412;2.0;6.0;0.0;0.0;1.0;0.0;1.0;2.0;9.0;2.0;1.0;0.0;5.0;1.0;1.0;1.0;12.0;0.0;2.0;0.0;0.0;0.0
260030 Agrestina;12141;13099;1816;1857;1809;1936;4306;3926;3416;2694;1678;1157;645;1.0;10.0;0.0;0.0;2.0;0.0;0.0;8.0;23.0;10.0;0.0;8.0;4.0;11.0;2.0;16.0;2.0;0.0;1.0;1.0;0.0;0.0
260040 Água Preta;18771;18615;3135;3132;3018;3148;6642;6499;4874;3429;1980;1093;436;0.0;10.0;0.0;0.0;1.0;0.0;0.0;6.0;16.0;5.0;2.0;3.0;2.0;6.0;1.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0
260050 Águas Belas;21670;22253;4353;4234;3924;3701;7154;6285;4958;3739;2689;1903;983;0.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;17.0;6.0;1.0;3.0;4.0;5.0;0.0;0.0;15.0;1.0;1.0;0.0;0.0;0.0
260060 Alagoinha;7541;7257;1114;1177;1160;1123;2312;2131;1877;1624;1139;721;420;0.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;15.0;3.0;1.0;4.0;1.0;2.0;0.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0
260070 Aliança;18957;19451;2770;2880;2882;2969;6079;6121;5277;4250;2854;1627;699;0.0;11.0;1.0;0.0;1.0;0.0;0.0;6.0;13.0;12.0;4.0;5.0;7.0;4.0;2.0;2.0;14.0;0.0;1.0;0.0;0.0;0.0
260080 Altinho;11369;11627;1441;1481;1445;1622;3602;3581;3111;2717;1875;1292;829;0.0;6.0;1.0;0.0;0.0;0.0;0.0;3.0;11.0;4.0;0.0;3.0;3.0;3.0;1.0;0.0;8.0;0.0;1.0;0.0;0.0;0.0
260090 Amaraji;11426;11484;1877;1876;1807;1845;3802;3713;3176;2293;1447;740;334;0.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0
260100 Angelim;5603;5698;908;899;850;911;1782;1704;1524;1078;794;545;306;0.0;7.0;0.0;0.0;1.0;0.0;0.0;4.0;10.0;3.0;0.0;1.0;4.0;3.0;0.0;1.0;6.0;1.0;1.0;0.0;0.0;0.0
260105 Araçoiaba;10402;10534;1687;1730;1710;1782;3705;3455;2678;2148;1186;595;260;0.0;11.0;1.0;0.0;1.0;0.0;0.0;1.0;14.0;9.0;1.0;2.0;1.0;3.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0
260110 Araripina;41972;43329;7721;7656;7384;7382;14660;12818;10140;7914;4836;3236;1554;2.0;29.0;4.0;0.0;8.0;0.0;0.0;4.0;35.0;20.0;4.0;4.0;12.0;4.0;1.0;2.0;22.0;2.0;2.0;0.0;0.0;0.0
